name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
synduce-constraints-sortedlist-sndmax_empty_base_case,Timeout,2894.7798,10,9,4,Unknown,0,0,0,0
synduce-tree-maxtree2,Timeout,2024.3861,19,10,1,Unknown,0,0,0,0
synduce-list-zero_after_one,Timeout,2271.8965,23,23,10,Unknown,0,0,0,0
synduce-list-lenhom,Valid,378.4793,17,9,5,Unknown,0,0,0,0
synduce-tree-maxtree,Timeout,2033.3622,18,11,1,Unknown,0,0,0,0
synduce-constraints-memo-mts_memo_sum,Timeout,2071.6897,42,35,9,Unknown,0,0,0,0
synduce-constraints-all_positive-list_mps,Timeout,2009.1946,30,12,5,Unknown,0,0,0,0
synduce-list-prodhom,Timeout,2414.0315,5,2,2,Unknown,0,0,0,0
autolifter-single-pass-longest1s,Timeout,2060.0864,19,17,11,Unknown,0,0,0,0
synduce-combine-mts,Timeout,2122.621,29,21,2,Unknown,0,0,0,0
synduce-misc-composed_unkwns,Timeout,2017.704,38,8,4,Unknown,0,0,0,0
synduce-combine-mss_with_sum,Timeout,2017.1251,34,14,2,Unknown,0,0,0,0
synduce-constraints-bst-minimax_separate,Timeout,2639.995,13,12,6,Unknown,0,0,0,0
synduce-list-mpshom,Timeout,2030.2052,31,19,11,Unknown,0,0,0,0
fusion-tupling-page1,Timeout,2005.2295,8,1,1,Unknown,0,0,0,0
synduce-constraints-bst-minimax_sim,Timeout,2494.7642,6,5,3,Unknown,0,0,0,0
synduce-tailopt-sum,Timeout,2131.8926,16,7,2,Unknown,0,0,0,0
autolifter-single-pass-0s1s,Timeout,2842.1045,7,6,6,Unknown,0,0,0,0
synduce-list-slsp,Timeout,2048.9336,49,35,8,Unknown,0,0,0,0
synduce-list-minhom,Timeout,2073.546,13,12,0,Unknown,0,0,0,0
synduce-constraints-ensures-mts_no_ensures,Timeout,2101.751,23,9,4,Unknown,0,0,0,0
synduce-indexed_list-sum_elts_lt_pos,Valid,164.2388,9,3,3,Unknown,0,0,0,0
fusion-shortcut-page1,Valid,44.995197,4,3,3,Unknown,0,0,0,0
synduce-list-maxcount,Timeout,2032.1472,23,14,4,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_logn,Timeout,2003.2751,36,29,6,Unknown,0,0,0,0
