name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
add1-add2,Valid,4.585053,0,0,0,Unknown,0,0,0,0
add1-add3,Valid,3.5768409,0,0,0,Unknown,0,0,0,0
add1-add4,Valid,10.965707,2,1,1,Unknown,0,0,0,0
mul1-mul2,Valid,15.016775,5,2,2,Unknown,0,0,0,0
mul1-mul3,Valid,10.978523,2,1,1,Unknown,0,0,0,0
mul1-mul4,Valid,26.76572,7,3,3,Unknown,0,0,0,0
mul1-mul5,Timeout,63908.05,11,9,5,Unknown,0,0,0,0
mul1-mul6,Timeout,62098.88,34,19,4,Unknown,0,0,0,0
mul1-mul7,Valid,143.38646,2,2,2,Unknown,0,0,0,0
