name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta1-ta2,Valid,37.23546,5,2,2,Unknown,0,0,0,0
ta1-ta3,Valid,24.314798,2,1,1,Unknown,0,0,0,0
ta1-ta4,Valid,64.710335,7,3,3,Unknown,0,0,0,0
ta1-ta5,Timeout,82566.83,10,9,5,Unknown,0,0,0,0
ta1-ta6,Timeout,63446.66,28,17,3,Unknown,0,0,0,0
ta1-ta7,Valid,319.12808,2,2,2,Unknown,0,0,0,0
ta1-sol32,Valid,312.5547,6,6,4,Unknown,0,0,0,0
ta1-sol90,Timeout,61032.492,32,27,5,Unknown,0,0,0,0
ta1-sol116,Valid,236.64122,5,5,3,Unknown,0,0,0,0
