name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta1-ta2,Valid,4.48691,0,0,0,Unknown,0,0,0,0
ta1-ta2,Valid,3.920874,0,0,0,Unknown,0,0,0,0
ta1-ta3,Valid,3.5470462,0,0,0,Unknown,0,0,0,0
ta1-ta4,Valid,10.149273,2,1,1,Unknown,0,0,0,0
ta1-sol4,Valid,15.059062,6,1,1,Unknown,0,0,0,0
ta1-sol6,Valid,35.419724,10,2,2,Unknown,0,0,0,0
ta1-sol11,Valid,3.066036,0,0,0,Unknown,0,0,0,0
ta1-sol143,Valid,73.16318,9,6,4,Unknown,0,0,0,0
