name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta1-ta3,Timeout,120347.36,6,4,2,Unknown,0,0,0,0
ta1-ta4,Timeout,120063.97,291,216,7,Unknown,0,0,0,0
ta1-sol4,Timeout,120011.7,245,174,14,Unknown,0,0,0,0
ta1-sol9,Timeout,120105.5,71,59,5,Unknown,0,0,0,0
ta1-sol20,Timeout,120140.14,155,116,15,Unknown,0,0,0,0
ta1-sol43,Invalid,15.938701,0,0,0,Unknown,0,0,0,0
ta1-sol57,Timeout,120107.766,221,149,14,Unknown,0,0,0,0
ta1-sol75,Timeout,120233.09,445,403,5,Unknown,0,0,0,0
